"S.No","District","Paddy(Kgs)","Cholam(Kgs)","Maize(Kgs)","Cumbu(Kgs)","Ragi(Kgs)","Kudiraivali(Kgs)","Samai(Kgs)","Varagu(Kgs)","Thenai(Kgs)","Redgram(Kgs)","Blackgram(Kgs)","Greengram(Kgs)","Cowpea(Kgs)","Horsegram(Kgs)","Bengalgram(Kgs)","Groundnut(Kgs)","Gingelly(Kgs)","Castor(Kgs)","Sunflower(Kgs)","Cotton(Kgs)","BGA(Kgs)","IPU94.1(Kgs)","Green manure seeds(Kgs)","Coconut seedling Tall(Nos)","Coconut Seedling TXD(Nos)","Coconut Seedling DXT(Nos)","ART(Nos)","TNAU,CMS,2A(Kgs)","K6 Minikit(Nos)","Paddy minikit(Nos)","Maize Minikit(Nos)","BlackGram Minikit(Nos)","Green Gram Minikit(Nos)","Red Gram Mini kit(Nos)","Ground nut Minikit(Nos)","Gingelly Minikit(Nos)","Sun Flower Minikit(Nos)","TxD Nuts(Nos)","DxT Nuts(Nos)","Tall nuts(Nos)","ART Groundnut Kharif-2015(Gram)","Moth Bean(Kgs)","Him(Kgs)","Soy Bean(Kgs)","Sugarcane(Nos)","Sun Hemp(Kgs)","Daincha(Kgs)","Cluster Beans(Kgs)","ART Groundnut Rabi-2015(Kgs)","ART(Kgs)","Coconut Seedlings COD(Nos)","Pungam Seedlings(Nos)","Panivaragu(Kgs)","Amla(Nos)","Anjan grass(Kgs)","Fodder Sorghum(Kgs)","Vellimasal(Kgs)","Cumbu napier(Kgs)","Muyal masal(Kgs)","Sorghum(Kgs)","Sesbania(Gram)","Palm Nuts(Nos)","Mango(Nos)","Guava(Nos)","Cotton ART-II(Kgs)","Papaya Seedlings(Nos)","Jack Seeding(Nos)","Kitchen Garden Kit(Nos)","AMK(Nos)","Amla(Nos)","Custerd Apple Seedling(Nos)","ART sesame(Kgs)","Kodo Millet(Kgs)","Finger Millet Ragi(Kgs)","CUMBU(Kgs)","Barnyard millet(Kgs)","Kuthirai vali(Kgs)","GROUNDNUT MINI KIT(Kgs)","JOWAR(Kgs)","Sorghum CSV 31 CS(Kgs)","Pulses(Kgs)","Fodder seeds(Kgs)","Pomegranate(Nos)","Forage Sorghum(Kgs)","Sesame(Kgs)","Ragi Minikit(Kgs)","Proso Millet(Kgs)","Fox tail Millet(Kgs)","Kuthiravaali(Kgs)","Sapota(Kgs)","ART(Kgs)","Hedge Lucerne / vellimasal(Kgs)","Greengram(Kgs)","Breeder Seed(Kgs)","Forage Bajra(Kgs)","Samai(Kgs)","Vegetable Cowpea(Kgs)","Ablab (Avarai)(Kgs)","Perennial Redgram(Kgs)","Lablab (Avarai)(Kgs)","Perennial Redgram(Kgs)","Traditional paddy(Kgs)"
"14","Mayiladuthurai","84594","","213","","","","","","","","155976","71888","","","","1700","100","","","","","","0","","","","","","","","","","","","","","","","","","","","","25","","","26250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","Nagapattinam","107418","","0","","","","","","","","40040","120050","","","","45","13022","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","7450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","",""
"16","Namakkal","10592","24339","0","2432","5761","","","","0","224","4290","20260","0","35","","71235","35","0","","1442","","","0","0","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","218","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","","","","","","","","","","",""
"17","Nilgiris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","Perambalur","26690","","4040","1578","","167","","102","","109","2948","60","","","","3124","71","300","","188","","","660","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","","","","","","","","","","80"
"19","Pudukkottai","122673","","0","331","1707","407","","","","236","32474","306","626","271","","34387","3980","","","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","19140","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","652","","","","","","","","","","","","","","","","",""
"20","Ramanathapuram","10350","160","0","0","3270","1889","","","","","10675","24","30","","","4978","810","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","7540","","","","","","","","","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","",""
"21","Ranipet","115627","","0","","4108","","","","","7238","7777","1660","685","","","33863","399","","","","","","9100","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","",""
"22","Salem","24227","28077","2890","1485","31618","1683","3509","2313","77","11","26022","40138","38013","469","","56031","1918","315","","2870","","","0","0","","","","","","","","","","","","","","","","","","","","25","","","155","","","","","","494","","","","","","","137","","","","","","","","","","","","","","","","","","","","","","","","","3038","","","","","","","","","","","50","","","","","",""
"23","Sivagangai","9585","","0","","1591","80","","","","","10384","","","","","1010","","","","120","","","705","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
