District,Urea,Imported Urea,DAP,Imported DAP,MOP,Amm Sulphate,SSP-Powdered,20-20-0-13,10-26-26,NFCL Kakinada-I Urea,17-17-17,Imported 16-16-16,Imported 20-20-0-13,City Compost,16-20-0-13,15-15-15,28-28-0,RCF Thal Urea,RCF Trombay Urea,IFFCO Kalol Urea,Imported 15-15-15-9,IFFCO Phulpur-I Urea,NFCL Kakinada-II Urea,Imported 12-32-16,Imported 14-35-14,Imported 17-17-17,Imported 16-20-0-13,16-20-0,Imported 14-28-14,Imported 15-15-15,Imported 13-33-0-6,Imported 10-26-26,Imported 16-20-0,Boronated 12-32-16,20-20-0-13(UAP),SSP-Zincated(Granular),SSP-Zincated(Powder),24-24-0-8,Zincated DAP,SSP-Boronated,Zincated 12-32-16,Zincated 10-26-26,Boronated 10-26-26,Boronated 15-15-15,Imported 28-28-0,Imported 24-24-0,Imported 23-23-0,Imported 20-20-0,Imported 19-19-19,Neem Coated Urea(45 Kg),Imported MAP,Boronated DAP,16-16-16,15-15-15-9,14-35-14,14-28-14,12-32-16,24-24-0,23-23-0,20-20-0,SSP-Granular,TSP,Imported MAP Lite,MAP,Imported DAP Lite-Grade II,DAP Lite,19-19-19,13-33-0-6,Imported DAP Lite,Zincated 20-20-0-13,CFCL Gadepan-II Urea,CFCL Gadepan-I Urea,NFL Vijaipur-II Urea,IFFCO Aonla-II Urea,IFFCO Aonla-I Urea,IFFCO Phulpur-II Urea,BVFCL Namrup-III Urea,BVFCL Namrup-II Urea,NFL Vijaipur-I Urea,NFL Panipat Urea,NFL Bhatinda Urea,NFL Nangal-II Urea,Amm Chloride
Namakkal,,,235.95,352.65,764.49,173.85,171.5,1025.77,494.1,,,129.0,129.5,,92.95,7.75,5.4,,,,,,,,,,,,,5.15,,483.7,,,,3.5,,,,,,,,,,,,,,698.44,0.2,,,41.7,,,3.0,35.4,,,62.4,,,,,,4.7,,,3.15,,,,,,,,,,,,,
Perambalur,,,264.95,245.25,379.06,188.6,98.6,949.57,36.7,,0.05,103.35,296.25,0.03,103.25,,19.2,,,,,,,,,,27.55,,,14.5,,111.0,,,,4.55,,,,,,,,,,,,,,643.86,,,,41.4,,,,,,,85.1,,,,,,,,,11.65,,,,,,,,,,,,,
Pudukkottai,,,267.33,186.05,907.5,349.85,280.35,1055.8,109.75,,,156.6,395.05,,145.15,,8.75,,,,,,,,,,8.35,,,44.1,,24.7,,,,,,,,,,,,,,,,,,1763.15,,,,10.5,,,,,,,123.5,,,,,,,,,6.3,,,,,,,,,,,,,
Ramanathapuram,,,38.1,165.17,89.7,86.65,7.9,466.37,5.8,,,18.5,94.45,,93.15,,,,,,,,,,,,7.6,,,5.75,,26.0,,,,,,,,,,,,,,,,,,725.77,,,,,,,,,,,8.55,,,,,,,,,17.75,,,,,,,,,,,,,
Ranipet,,,104.95,193.15,229.25,140.7,38.0,456.05,4.75,,,82.0,68.15,,170.12,5.85,35.95,,,,,,,,,,41.0,,,30.8,,1.75,,,,10.25,,,,,,,,,,,,,,334.8,,,,27.85,1.1,,,,,,14.9,,,,,,,,,13.3,,,,,,,,,,,,,
Salem,,,97.65,506.77,767.21,165.48,161.05,1078.95,537.45,,,196.9,169.21,,155.5,20.4,42.0,,,,,,,,,,1.7,,,5.1,,358.82,,,,,,,,,,,,,,,,,,1561.94,,,,99.85,0.25,,18.3,72.85,,,93.8,,,,,,10.75,,,7.55,,,,,,,,,,,,,
Sivaganga,,,108.45,149.97,336.08,68.45,91.4,672.75,43.85,,,41.55,91.9,,70.1,,14.9,,,,,,,,,,0.35,,,15.8,,16.75,,,,0.9,,,,,,,,,,,,,,827.89,0.1,,,84.5,,,,,,,83.25,,,,,,,,,,,,,,,,,,,,,,
TENKASI,,,105.25,213.09,263.26,82.85,82.3,564.81,21.05,,,154.95,75.85,,75.2,,14.05,,,,,,,,,,26.25,,,73.5,,12.45,,,,,,,,,,,,,,,,,,410.23,,,,13.65,,,,,,,39.65,,,,,,,,,,,,,,,,,,,,,,
Thanjavur,,,364.09,449.8,1252.39,301.95,586.94,873.53,252.8,,,128.9,470.55,,125.61,,30.25,,,,,,,,,,6.65,,,23.25,,22.8,,,,11.9,,,,,,,,,,,,,,2369.75,,,,7.5,,,,,,,171.45,,,,,,,,,19.05,,,,,,,,,,,,,
The Nilgiris,,,39.0,105.3,163.75,118.15,105.73,69.65,13.2,,,88.15,0.5,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,237.55,,,,,,,,,,,3.3,,,,,,,,,0.75,,,,,,,,,,,,,
